Dates;PX_LAST;LAST_PRICE;PX_VOLUME
10/25/2012;;21011.04;7623677
10/26/2012;;20968.79;3711345
10/29/2012;;20918.6;2722650
10/30/2012;;20952.4;5162037
10/31/2012;;20789.41;21705187
11/01/2012;;20789.41;21705187
11/02/2012;;20865.63;3648712
11/05/2012;;20978.92;5628485
11/06/2012;;20935.86;16209093
11/07/2012;;20886.62;9258178
11/08/2012;;21115.06;9337239
11/09/2012;;21046.16;5172150
11/12/2012;;21060.33;8299013
11/13/2012;;21067.94;6882988
11/14/2012;;20523.54;8103152
11/15/2012;;20093.83;12826272
11/16/2012;;20044;10396499
11/19/2012;;20307.63;7488505
11/20/2012;;20191.7;8533487
11/21/2012;;20102.05;8752797
11/22/2012;;20039.84;11028478
11/23/2012;;20227.74;23040614
11/26/2012;;20211.52;14135912
11/27/2012;;20096.61;31080313
11/28/2012;;20073.39;15659519
11/29/2012;;20165.15;23298105
11/30/2012;;20044.62;123606170
12/03/2012;;20291.44;20949557
12/04/2012;;20260.81;10222759
12/05/2012;;20199.39;9764314
12/06/2012;;20192.09;4778581
12/07/2012;;19938.26;8436147
12/10/2012;;19908.02;9592533
12/11/2012;;20147.83;10737177
12/12/2012;;20272.09;13102092
12/13/2012;;20158.65;6254923
12/14/2012;;20147.08;8161661
12/17/2012;;20163.94;8643380
12/18/2012;;20292.21;1687736868
12/19/2012;;20466.87;6232520
12/20/2012;;20350.45;8858130
12/21/2012;;20338.87;7918690
12/24/2012;;20307.31;1237064
12/25/2012;;20307.31;1237064
12/26/2012;;20354.4;3803863
12/27/2012;;20377.63;7054768
12/28/2012;;20548.18;7138115
12/31/2012;;20629.35;3656275
01/01/2013;;20629.35;3656275
01/02/2013;;21016.02;11420927
01/03/2013;;21120.35;6448808
01/04/2013;;21221.45;3544468
01/07/2013;;21336.93;7805584
01/08/2013;;21544.54;18982920
01/09/2013;;21588.08;22581039
01/10/2013;;21902.23;19422174
01/11/2013;;21905.52;18356959
01/14/2013;;21870.35;10216017
01/15/2013;;21735.27;6673324
01/16/2013;;21836.92;5961808
01/17/2013;;21761.43;6945842
01/18/2013;;21666.72;9394062
01/21/2013;;21747.62;3261318
01/22/2013;;21625.27;12380862
01/23/2013;;21651.73;7355333
